                                                                                                                                                                                                                                                                                                                                                                               1,1           Top
                                                                                                                                                                                                                                                                                                                                                                               ------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
   2490 |    14.6988 |     0.2228 |     6.0813 |     0.0181 |   5.8517
   2500 |    11.1997 |     0.2135 |     4.6072 |     0.0153 |   5.8350
   2510 |     9.0100 |     0.1411 |     3.7439 |     0.0141 |   5.8183
   2520 |    23.1722 |     0.2421 |     9.7653 |     0.0156 |   5.8017
   2530 |    24.2250 |     0.2371 |    10.2509 |     0.0376 |   5.7850
   2540 |    17.3842 |     0.1922 |     7.3568 |     0.0235 |   5.7683
   2550 |    15.2914 |     0.2192 |     6.4433 |     0.0155 |   5.7517
   2560 |    15.6280 |     0.1533 |     6.6691 |     0.0171 |   5.7350
   2570 |    18.9184 |     0.4164 |     7.8798 |     0.0253 |   5.7183
   2580 |    19.5286 |     0.1650 |     8.4056 |     0.0289 |   5.7017
   2590 |    16.8001 |     0.1780 |     7.2179 |     0.0193 |   5.6850
   2600 |    21.5538 |     0.1744 |     9.3386 |     0.0175 |   5.6683
   2610 |     7.3254 |     0.0768 |     3.1649 |     0.0265 |   5.6517
   2620 |    11.9045 |     0.1727 |     5.1134 |     0.0147 |   5.6350
   2630 |    22.2358 |     0.1845 |     9.7131 |     0.0238 |   5.6183
   2640 |    18.5639 |     0.1782 |     8.1086 |     0.0249 |   5.6017
   2650 |    16.2698 |     0.1906 |     7.0924 |     0.0352 |   5.5850
   2660 |    15.8654 |     0.2112 |     6.9120 |     0.0150 |   5.5683
   2670 |    21.0171 |     0.2452 |     9.2178 |     0.0160 |   5.5517
   2680 |    17.9273 |     0.1869 |     7.9078 |     0.0161 |   5.5350
   2690 |    18.1499 |     0.1051 |     8.1150 |     0.0131 |   5.5183
   2700 |    15.5485 |     0.2492 |     6.8086 |     0.0326 |   5.5017
   2710 |    17.7630 |     0.2264 |     7.8620 |     0.0194 |   5.4850
   2720 |    11.2453 |     0.1805 |     4.9531 |     0.0170 |   5.4683
   2730 |    10.8240 |     0.0971 |     4.8612 |     0.0179 |   5.4517
   1430 |     9.9106 |     8.1563 |     0.0617 |     0.1373 |   7.6183
